Original Index,TimeSec,SleepLVL,HR
0,30,0,54.0
1,60,0,50.0
2,90,0,54.0
3,120,0,56.0
4,150,0,68.0
5,180,0,52.0
6,210,0,58.0
7,240,0,60.0
8,270,0,59.0
9,300,0,51.0
10,330,0,57.0
11,360,0,54.0
12,390,0,58.0
13,420,0,54.0
14,450,0,58.0
15,480,0,56.0
16,510,0,55.0
17,540,0,62.0
18,570,0,59.0
19,600,0,58.0
20,630,0,58.0
21,660,0,58.0
22,690,0,58.0
23,720,0,57.0
24,750,0,58.0
25,780,0,59.0
26,810,0,59.0
27,840,0,59.0
28,870,0,59.0
29,900,0,58.0
30,930,0,57.0
31,960,0,57.0
32,990,0,64.0
33,1020,0,67.0
34,1050,0,60.0
35,1080,0,59.0
36,1110,0,59.0
37,1140,0,59.0
38,1170,0,58.0
39,1200,0,58.0
40,1230,0,57.0
41,1260,0,57.0
42,1290,0,55.0
43,1320,0,56.0
44,1350,0,60.0
45,1380,0,55.0
46,1410,0,54.0
47,1440,0,53.0
48,1470,0,53.0
49,1500,1,53.0
50,1530,1,54.0
51,1560,1,53.0
52,1590,1,53.0
53,1620,2,52.0
54,1650,2,53.0
55,1680,2,56.0
56,1710,2,54.0
57,1740,2,53.0
58,1770,2,54.0
59,1800,2,55.0
60,1830,2,57.0
61,1860,2,55.0
62,1890,2,59.0
63,1920,2,56.0
64,1950,2,59.0
65,1980,2,59.0
66,2010,2,53.0
67,2040,2,59.0
68,2070,2,58.0
69,2100,2,56.0
70,2130,2,59.0
71,2160,2,60.0
72,2190,2,55.0
73,2220,2,60.0
74,2250,2,59.0
75,2280,2,60.0
76,2310,2,56.0
77,2340,2,58.0
78,2370,2,58.0
79,2400,2,59.0
80,2430,2,59.0
81,2460,2,55.0
82,2490,2,58.0
83,2520,2,61.0
84,2550,2,59.0
85,2580,3,60.0
86,2610,2,59.0
87,2640,3,58.0
88,2670,3,59.0
89,2700,3,60.0
90,2730,3,59.0
91,2760,3,60.0
92,2790,3,59.0
93,2820,3,56.0
94,2850,3,57.0
95,2880,3,60.0
96,2910,3,59.0
97,2940,3,59.0
98,2970,3,61.0
99,3000,3,57.0
100,3030,3,61.0
101,3060,3,61.0
102,3090,3,61.0
103,3120,2,59.0
104,3150,2,57.0
105,3180,2,58.0
106,3210,3,58.0
107,3240,3,60.0
108,3270,2,60.0
109,3300,0,58.0
110,3330,0,57.0
111,3360,0,96.0
112,3390,0,82.0
113,3420,0,92.0
114,3450,0,69.0
115,3480,0,53.0
116,3510,0,57.0
117,3540,0,56.0
118,3570,0,59.0
119,3600,0,52.0
120,3630,0,52.0
121,3660,1,50.0
122,3690,1,53.0
123,3720,1,53.0
124,3750,1,54.0
125,3780,1,53.0
126,3810,1,55.0
127,3840,1,52.0
128,3870,1,53.0
129,3900,1,53.0
130,3930,1,54.0
131,3960,1,56.0
132,3990,1,59.0
133,4020,1,54.0
134,4050,1,56.0
135,4080,1,53.0
136,4110,1,54.0
137,4140,1,56.0
138,4170,1,59.0
139,4200,1,57.0
140,4230,0,59.0
141,4260,0,69.0
142,4290,0,58.0
143,4320,0,68.0
144,4350,0,57.0
