,TimeSec,HR,SleepLVL
0,540,67,0
1,570,73,0
2,600,64,0
3,630,63,0
4,660,63,0
5,690,62,0
6,720,61,0
7,750,62,0
8,780,63,0
9,810,64,0
10,840,62,0
11,870,64,0
12,900,63,0
13,930,65,0
14,960,65,0
15,990,61,0
16,1020,66,0
17,1050,60,0
18,1080,74,0
19,1110,60,0
20,1140,61,0
21,1170,60,0
22,1200,61,0
23,1230,59,0
24,1260,69,0
25,1290,71,0
26,1320,64,0
27,1350,63,0
28,1380,65,0
29,1410,63,0
30,1440,63,0
31,1470,68,0
32,1500,61,0
33,1530,61,0
34,1560,63,0
35,1590,62,0
36,1620,62,0
37,1650,62,0
38,1680,61,0
39,1710,68,0
40,1740,60,0
41,1770,59,0
42,1800,59,0
43,1830,64,0
44,1860,59,0
45,1890,59,0
46,1920,60,0
47,1950,61,0
48,1980,60,0
49,2010,58,0
50,2040,59,0
51,2070,59,0
52,2100,59,0
53,2130,59,0
54,2160,58,0
55,2190,59,0
56,2220,57,0
57,2250,56,0
58,2280,58,0
59,2310,57,0
60,2340,58,0
61,2370,56,0
62,2400,57,0
63,2430,58,0
64,2460,58,0
65,2490,61,0
66,2520,58,0
67,2550,56,0
68,2580,58,0
69,2610,59,0
70,2640,62,0
71,2670,64,0
72,2700,62,1
73,2730,59,1
74,2760,57,1
75,2790,58,1
76,2820,58,2
77,2850,57,2
78,2880,59,2
79,2910,65,2
80,2940,59,2
81,2970,58,2
82,3000,59,2
83,3030,59,2
84,3060,58,2
85,3090,60,2
86,3120,60,2
87,3150,60,2
88,3180,60,0
89,3210,67,2
90,3240,68,2
91,3270,62,2
92,3300,64,2
93,3330,59,2
94,3360,60,2
95,3390,60,2
96,3420,59,2
97,3450,60,2
98,3480,59,2
99,3510,60,2
100,3540,59,2
101,3570,61,2
102,3600,61,2
103,3630,62,2
104,3660,60,2
105,3690,61,2
106,3720,60,2
107,3750,62,3
108,3780,61,3
109,3810,62,3
110,3840,60,3
111,3870,61,3
112,3900,61,3
113,3930,62,3
114,3960,61,3
115,3990,62,3
116,4020,62,3
117,4050,63,3
118,4080,63,3
119,4110,63,3
120,4140,63,3
121,4170,63,3
122,4200,63,3
123,4230,62,3
124,4260,64,3
125,4290,61,3
126,4320,64,3
127,4350,59,3
128,4380,61,3
129,4410,61,3
130,4440,62,3
131,4470,63,3
132,4500,62,3
133,4530,62,3
134,4560,61,3
135,4590,64,3
136,4620,63,3
137,4650,62,3
138,4680,64,3
139,4710,64,3
140,4740,63,2
141,4770,75,2
142,4800,58,2
143,4830,61,2
144,4860,61,2
145,4890,61,2
146,4920,60,2
147,4950,62,2
148,4980,64,2
149,5010,63,2
150,5040,61,2
151,5070,61,2
152,5100,60,2
